날짜시간,항공사,가격
2025-01-07 00:00:00-17:55,제주항공,"140,700"
2025-01-07 00:00:00-15:20,제주항공,"154,500"
2025-01-07 00:00:00-16:55,제주항공,"168,300"
2025-01-07 00:00:00-06:30,아시아나항공,"229,100"
2025-01-07 00:00:00-07:55,아시아나항공,"229,100"
2025-01-07 00:00:00-10:35,아시아나항공,"229,100"
2025-01-07 00:00:00-12:00,대한항공,"230,700"
2025-01-07 00:00:00-12:40,대한항공,"230,700"
2025-01-07 00:00:00-14:00,대한항공,"230,700"
2025-01-08 00:00:00-16:20,제주항공,"132,400"
2025-01-08 00:00:00-17:55,제주항공,"140,700"
2025-01-08 00:00:00-15:20,제주항공,"154,500"
2025-01-08 00:00:00-16:55,제주항공,"168,300"
2025-01-08 00:00:00-06:30,아시아나항공,"229,100"
2025-01-08 00:00:00-07:55,아시아나항공,"229,100"
2025-01-08 00:00:00-10:35,아시아나항공,"229,100"
2025-01-08 00:00:00-12:00,대한항공,"230,700"
2025-01-08 00:00:00-12:40,대한항공,"230,700"
2025-01-08 00:00:00-14:00,대한항공,"230,700"
2025-01-09 00:00:00-16:20,제주항공,"140,700"
2025-01-09 00:00:00-17:55,제주항공,"168,300"
2025-01-09 00:00:00-06:30,제주항공,"168,300"
2025-01-09 00:00:00-07:55,제주항공,"183,000"
2025-01-09 00:00:00-15:20,아시아나항공,"229,100"
2025-01-09 00:00:00-16:55,아시아나항공,"229,100"
2025-01-09 00:00:00-10:35,아시아나항공,"229,100"
2025-01-09 00:00:00-12:00,대한항공,"230,700"
2025-01-09 00:00:00-12:40,대한항공,"230,700"
2025-01-09 00:00:00-14:00,대한항공,"230,700"
2025-01-10 00:00:00-16:20,제주항공,"168,300"
2025-01-10 00:00:00-17:55,제주항공,"183,000"
2025-01-10 00:00:00-15:20,제주항공,"196,800"
2025-01-10 00:00:00-16:55,제주항공,"210,300"
2025-01-10 00:00:00-06:30,아시아나항공,"229,100"
2025-01-10 00:00:00-07:55,아시아나항공,"229,100"
2025-01-10 00:00:00-10:35,아시아나항공,"229,100"
2025-01-10 00:00:00-12:00,대한항공,"230,700"
2025-01-10 00:00:00-12:40,대한항공,"230,700"
2025-01-10 00:00:00-14:00,대한항공,"247,200"
2025-01-11 00:00:00-16:20,제주항공,"168,300"
2025-01-11 00:00:00-17:55,제주항공,"183,000"
2025-01-11 00:00:00-15:20,제주항공,"196,800"
2025-01-11 00:00:00-16:55,제주항공,"210,300"
2025-01-11 00:00:00-06:30,아시아나항공,"229,100"
2025-01-11 00:00:00-07:55,아시아나항공,"229,100"
2025-01-11 00:00:00-10:35,아시아나항공,"229,100"
2025-01-11 00:00:00-12:00,대한항공,"230,700"
2025-01-11 00:00:00-12:40,대한항공,"230,700"
2025-01-11 00:00:00-14:00,대한항공,"230,700"
2025-01-12 00:00:00-16:20,제주항공,"154,500"
2025-01-12 00:00:00-17:55,제주항공,"168,300"
2025-01-12 00:00:00-06:30,제주항공,"168,300"
2025-01-12 00:00:00-07:55,제주항공,"196,800"
2025-01-12 00:00:00-15:20,아시아나항공,"229,100"
2025-01-12 00:00:00-16:55,아시아나항공,"229,100"
2025-01-12 00:00:00-10:35,아시아나항공,"229,100"
2025-01-12 00:00:00-12:00,대한항공,"230,700"
2025-01-12 00:00:00-12:40,대한항공,"230,700"
