날짜시간,항공사,가격
2024-08-24 00:00:00-19:50,이스타항공,"100,900"
2024-08-24 00:00:00-14:40,티웨이항공,"104,200"
2024-08-24 00:00:00-16:00,에어서울,"114,900"
2024-08-24 00:00:00-14:45,에어부산,"116,000"
2024-08-25 00:00:00-07:20,에어부산,"93,162"
2024-08-25 00:00:00-08:55,에어서울,"95,923"
2024-08-25 00:00:00-07:25,이스타항공,"97,611"
2024-08-25 00:00:00-08:55,에어부산,"98,000"
2024-08-25 00:00:00-14:40,티웨이항공,"100,175"
2024-08-26 00:00:00-18:25,티웨이항공,"88,063"
2024-08-26 00:00:00-19:50,아시아나항공,"91,499"
2024-08-26 00:00:00-18:20,대한항공,"91,717"
2024-08-26 00:00:00-19:40,에어서울,"94,899"
2024-08-26 00:00:00-18:35,제주항공,"96,900"
2024-08-27 00:00:00-07:40,에어서울,"77,332"
2024-08-27 00:00:00-09:00,제주항공,"78,915"
2024-08-27 00:00:00-16:05,티웨이항공,"79,587"
2024-08-27 00:00:00-17:30,티웨이항공,"79,587"
2024-08-27 00:00:00-14:45,에어서울,"82,825"
2024-08-28 00:00:00-14:45,티웨이항공,"64,127"
2024-08-28 00:00:00-16:10,제주항공,"75,674"
2024-08-28 00:00:00-08:20,에어서울,"77,675"
2024-08-28 00:00:00-10:00,티웨이항공,"79,617"
2024-08-28 00:00:00-14:25,이스타항공,"87,353"
2024-08-29 00:00:00-08:20,제주항공,"91,000"
2024-08-29 00:00:00-10:00,티웨이항공,"92,200"
2024-08-29 00:00:00-14:45,이스타항공,"94,100"
2024-08-29 00:00:00-16:10,에어서울,"96,500"
2024-08-29 00:00:00-14:40,에어부산,"98,000"
2024-08-31 00:00:00-18:25,티웨이항공,"79,572"
2024-08-31 00:00:00-19:50,티웨이항공,"88,123"
2024-08-31 00:00:00-14:45,이스타항공,"91,356"
2024-08-31 00:00:00-16:10,에어부산,"92,152"
2024-08-31 00:00:00-14:40,에어부산,"97,000"
2024-09-01 00:00:00-14:45,티웨이항공,"104,200"
2024-09-01 00:00:00-16:10,에어서울,"105,700"
2024-09-01 00:00:00-08:05,에어서울,"105,700"
2024-09-01 00:00:00-09:30,에어부산,"102,900"
2024-09-01 00:00:00-14:25,이스타항공,"112,200"
2024-09-02 00:00:00-08:05,에어서울,"82,437"
2024-09-02 00:00:00-09:30,티웨이항공,"88,182"
2024-09-02 00:00:00-14:45,이스타항공,"99,276"
2024-09-02 00:00:00-16:10,에어부산,"100,633"
2024-09-02 00:00:00-14:40,티웨이항공,"98,271"
2024-09-03 00:00:00-07:40,에어서울,"77,123"
2024-09-03 00:00:00-09:00,티웨이항공,"79,512"
2024-09-03 00:00:00-18:25,아시아나항공,"81,633"
2024-09-03 00:00:00-19:50,대한항공,"81,892"
2024-09-03 00:00:00-18:20,에어서울,"82,526"
2024-09-04 00:00:00-08:05,에어서울,"86,400"
2024-09-04 00:00:00-09:30,티웨이항공,"87,200"
2024-09-04 00:00:00-14:45,티웨이항공,"87,200"
2024-09-04 00:00:00-16:10,에어부산,"87,300"
2024-09-04 00:00:00-18:25,대한항공,"86,100"
2024-09-06 00:00:00-14:25,에어서울,"104,467"
2024-09-06 00:00:00-16:00,티웨이항공,"107,180"
2024-09-06 00:00:00-14:45,이스타항공,"118,800"
2024-09-06 00:00:00-16:10,에어부산,"122,800"
2024-09-06 00:00:00-14:40,에어서울,"124,601"
2024-09-08 00:00:00-08:05,에어서울,"104,616"
2024-09-08 00:00:00-09:30,에어부산,"102,570"
2024-09-08 00:00:00-07:20,티웨이항공,"107,135"
2024-09-08 00:00:00-08:55,이스타항공,"111,026"
2024-09-08 00:00:00-14:45,에어서울,"104,467"
2024-09-09 00:00:00-08:45,아시아나항공,"81,991"
2024-09-09 00:00:00-10:15,에어서울,"82,362"
2024-09-09 00:00:00-08:05,티웨이항공,"88,063"
2024-09-09 00:00:00-09:30,티웨이항공,"88,063"
2024-09-09 00:00:00-14:45,제주항공,"97,212"
2024-09-10 00:00:00-07:40,에어서울,"68,078"
2024-09-10 00:00:00-09:00,티웨이항공,"71,723"
2024-09-10 00:00:00-14:45,티웨이항공,"71,723"
2024-09-10 00:00:00-16:10,에어서울,"77,511"
2024-09-10 00:00:00-18:25,에어부산,"82,152"
2024-09-11 00:00:00-07:20,에어부산,"74,200"
2024-09-11 00:00:00-08:55,에어서울,"68,452"
2024-09-11 00:00:00-08:05,티웨이항공,"71,723"
2024-09-11 00:00:00-09:30,에어서울,"77,601"
2024-09-11 00:00:00-14:45,티웨이항공,"79,527"
2024-09-12 00:00:00-14:40,이스타항공,"141,600"
2024-09-12 00:00:00-16:00,에어부산,"143,000"
2024-09-12 00:00:00-07:20,에어서울,"145,810"
2024-09-12 00:00:00-08:55,에어서울,"145,900"
2024-09-12 00:00:00-07:40,티웨이항공,"149,560"
2024-09-13 00:00:00-14:45,티웨이항공,"232,200"
2024-09-13 00:00:00-16:10,에어서울,"234,200"
2024-09-13 00:00:00-14:25,이스타항공,"247,500"
2024-09-13 00:00:00-16:00,제주항공,"246,400"
2024-09-13 00:00:00-14:40,제주항공,"246,400"
2024-09-14 00:00:00-07:20,에어부산,"578,535"
2024-09-14 00:00:00-08:55,이스타항공,"579,530"
2024-09-14 00:00:00-08:40,세부퍼시픽,"610,500"
2024-09-14 00:00:00-09:55,진에어,"647,263"
