날짜시간,항공사,가격
2024-12-25 00:00:00-17:55,그레이터베이항공,"192,900"
2024-12-25 00:00:00-18:25,홍콩익스프레스항공,"196,200"
2024-12-25 00:00:00-14:05,홍콩익스프레스항공,"209,100"
2024-12-26 00:00:00-14:05,그레이터베이항공,"164,500"
2024-12-26 00:00:00-17:15,샤먼항공,"189,800"
2024-12-26 00:00:00-17:55,홍콩익스프레스항공,"196,200"
2024-12-26 00:00:00-18:25,홍콩익스프레스항공,"209,100"
2024-12-26 00:00:00-12:35,제주항공,"231,800"
2024-12-27 00:00:00-14:05,그레이터베이항공,"136,100"
2024-12-27 00:00:00-17:15,샤먼항공,"189,800"
2024-12-27 00:00:00-17:55,홍콩익스프레스항공,"196,200"
2024-12-27 00:00:00-18:25,홍콩익스프레스항공,"209,100"
2024-12-27 00:00:00-12:35,샤먼항공,"212,700"
2024-12-28 00:00:00-13:45,샤먼항공,"189,800"
2024-12-28 00:00:00-11:20,샤먼항공,"189,800"
2024-12-28 00:00:00-17:55,그레이터베이항공,"192,900"
2024-12-28 00:00:00-18:25,홍콩익스프레스항공,"212,600"
2024-12-28 00:00:00-14:05,홍콩익스프레스항공,"221,900"
2024-12-29 00:00:00-14:05,그레이터베이항공,"145,600"
2024-12-29 00:00:00-17:15,샤먼항공,"189,800"
2024-12-29 00:00:00-17:55,홍콩익스프레스항공,"199,700"
2024-12-29 00:00:00-18:25,홍콩익스프레스항공,"221,900"
2024-12-29 00:00:00-12:35,제주항공,"231,800"
2024-12-31 00:00:00-14:05,그레이터베이항공,"136,100"
2024-12-31 00:00:00-17:15,홍콩익스프레스항공,"196,200"
2024-12-31 00:00:00-12:35,홍콩익스프레스항공,"209,100"
2024-12-31 00:00:00-15:35,샤먼항공,"212,700"
2024-12-31 00:00:00-21:55,홍콩익스프레스항공,"221,900"
2025-01-01 00:00:00-12:35,홍콩익스프레스항공,"196,200"
2025-01-01 00:00:00-15:35,홍콩익스프레스항공,"209,100"
2025-01-01 00:00:00-21:55,그레이터베이항공,"227,800"
2025-01-01 00:00:00-00:55,홍콩익스프레스항공,"234,800"
2025-01-01 00:00:00-14:05,홍콩항공,"306,500"
2025-01-02 00:00:00-12:35,홍콩익스프레스항공,"196,200"
2025-01-02 00:00:00-15:35,홍콩익스프레스항공,"209,100"
2025-01-02 00:00:00-21:55,홍콩익스프레스항공,"221,900"
